[2024-12-12 06:32:09] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/shake.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/swing.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/tada.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/tada.min.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2024-12-12 06:32:16] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.min.css
